header,sub,item,unit,description
101,21,0,UNT,--Pure-bred breeding animals
101,29,0,UNT,--Other
101,30,100,UNT,--Pure-bred breeding animals
101,30,900,UNT,--Other
101,90,0,UNT,-Other
102,21,0,UNT,--Pure-bred breeding animals
102,29,110,UNT,----Oxen
102,29,190,UNT,----Other
102,29,910,UNT,----Oxen
102,29,990,UNT,----Other
102,31,0,UNT,--Pure-bred breeding animals
102,39,100,UNT,---For slaughter
102,39,900,UNT,---Other
102,90,100,UNT,--Pure-bred breeding animals
102,90,910,UNT,---For slaughter
102,90,990,UNT,---Other
103,10,0,UNT,-Pure-bred breeding animals
103,91,0,UNT,--Weighing less than 50 kg
103,92,0,UNT,--Weighing 50 kg or more
104,10,0,UNT,-Sheep
104,20,0,UNT,-Goats
105,11,100,UNT,---Breeding fowls
105,11,900,UNT,---Other
105,12,0,UNT,--Turkeys
105,13,100,UNT,---Breeding ducklings
105,13,900,UNT,---Other
105,14,0,UNT,--Geese
105,15,0,UNT,--Guinea fowls
105,94,110,UNT,----Breeding fowls
105,94,190,UNT,----Other
105,94,900,UNT,---Other
105,99,100,UNT,---Ducks
105,99,900,UNT,---Other
106,11,100,UNT,---For zoos and pets
106,11,900,UNT,---Other
106,12,100,UNT,- - - For zoos and pets
106,12,900,UNT,- - - Other
106,13,100,UNT,---For zoos and pets
106,13,900,UNT,---Other
106,14,100,UNT,---For zoos and pets
106,14,900,UNT,---Other
106,19,100,UNT,---For zoos and pets
106,19,900,UNT,---Other
106,20,100,UNT,--For zoos and pets
106,20,900,UNT,--Other
106,31,100,UNT,---For zoos and pets
106,31,900,UNT,---Other
106,32,100,UNT,---For zoos and pets
106,32,900,UNT,---Other
106,33,100,UNT,---For zoos and pets
106,33,900,UNT,---Other
106,39,100,UNT,---For zoos and pets
106,39,900,UNT,---Other
106,41,100,UNT,---For zoos and pets
106,41,900,UNT,---Other
106,49,100,UNT,---For zoos and pets
106,49,900,UNT,---Other
106,90,100,UNT,--For zoos and pets
106,90,900,UNT,--Other
201,10,0,KGM,-Carcasses and half-carcasses
201,20,0,KGM,-Other cuts with bone in
201,30,0,KGM,-Boneless
202,10,0,KGM,-Carcasses and half-carcasses
202,20,0,KGM,-Other cuts with bone in
202,30,0,KGM,-Boneless
203,11,0,KGM,--Carcasses and half-carcasses
203,12,0,KGM,"--Hams, shoulders and cuts thereof, with bone in"
203,19,0,KGM,--Other
203,21,0,KGM,--Carcasses and half-carcasses
203,22,0,KGM,"--Hams, shoulders and cuts thereof, with bone in"
203,29,0,KGM,--Other
204,10,0,KGM,"-Carcasses and half-carcasses of lamb, fresh or chilled"
204,21,0,KGM,--Carcasses and half-carcasses
204,22,0,KGM,--Other cuts with bone in
204,23,0,KGM,--Boneless
204,30,0,KGM,"-Carcasses and half-carcasses of lamb, frozen"
204,41,0,KGM,--Carcasses and half-carcasses
204,42,0,KGM,--Other cuts with bone in
204,43,0,KGM,--Boneless
204,50,0,KGM,-Meat of goats
205,0,0,KGM,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
206,10,0,KGM,"-Of bovine animals, fresh or chilled"
206,21,0,KGM,--Tongues
206,22,0,KGM,--Livers
206,29,0,KGM,--Other
206,30,0,KGM,"-Of swine, fresh or chilled"
206,41,0,KGM,--Livers
206,49,0,KGM,--Other
206,80,0,KGM,"-Other, fresh or chilled"
206,90,0,KGM,"-Other, frozen"
207,11,0,KGM,"--Not cut in pieces, fresh or chilled"
207,12,0,KGM,"--Not cut in pieces, frozen"
207,13,0,KGM,"--Cuts and offal, fresh or chilled"
207,14,0,KGM,"--Cuts and offal, frozen"
207,24,0,KGM,"--Not cut in pieces, fresh or chilled"
